,GID,custom.compatible_with,specs.cutting_size,specs.material,specs.installation,specs.type_of_cut,specs.safety_features,specs.made_in
ROE1-27069,gid://shopify/Product/8643029696711,CL20-R402,3mm wave,Stainless steel 304,Quick-release,Ripple,Quick lock,France
ROE1-27070,gid://shopify/Product/8643029729479,CL20-R402,5mm wave,Stainless steel 304,Quick-release,Ripple,Safety fit,France
ROE1-27072,gid://shopify/Product/8645662441671,CL20-R402,2x4mm,Stainless steel 304,Direct mount,Julienne,Auto-lock,France
ROE1-27072W,gid://shopify/Product/8645527142599,CL20-R402,2x4mm,Mineral,Direct mount,Julienne,Quick secure,France
ROE1-27078,gid://shopify/Product/8643029762247,CL20-R402,0.7mm,Stainless steel 304,Direct mount,Fine grate,Secure fit,France
ROE1-27079,gid://shopify/Product/8643029795015,CL20-R402,1mm,Stainless steel 304,Direct mount,Fine grate,Quick lock,France
ROE1-27080,gid://shopify/Product/8643029827783,CL20-R402,2x4mm,Stainless steel 304,Quick-release,Standard,Auto-secure,France
ROE1-27081,gid://shopify/Product/8645659984071,CL20-R402,2x6mm,Stainless steel 304,Quick-release,Standard,Safety lock,France
ROE1-27086,gid://shopify/Product/8643029860551,CL20-R402,3mm,Stainless steel 304,Direct mount,Slicing,Secure mount,France
ROE1-27087,gid://shopify/Product/8643029893319,CL20-R402,4mm,Stainless steel 304,Direct mount,Slicing,Quick fit,France
ROE1-27106,gid://shopify/Product/8644776689863,R8-R10,,Stainless steel 304,Direct mount,Smooth cut,Safety lock,France
ROE1-27113,gid://shopify/Product/8643029926087,Various,,Stainless steel 304,Tool-free,Multiple,Auto-lock,France
ROE1-27114,gid://shopify/Product/8643029958855,Various,,Stainless steel 304,Quick mount,Multiple,Base lock,France
ROE1-27116,gid://shopify/Product/8643029991623,CL40-R402,8x8mm,Stainless steel 304,Direct mount,Square cut,Auto-secure,France
ROE1-27117,gid://shopify/Product/8643030024391,CL40-R402,10x10mm,Stainless steel 304,Direct mount,Square cut,Quick lock,France
ROE1-27130,gid://shopify/Product/8643030057159,CL20-R402,1.3mm,Stainless steel 304,Quick-release,Fine grate,Secure fit,France
ROE1-27148,gid://shopify/Product/8644776755399,CL40,1.5mm,Stainless steel 304,Direct mount,Fine grate,Safety mount,France
ROE1-27149,gid://shopify/Product/8644776788167,CL40,2mm,Stainless steel 304,Direct mount,Standard grate,Quick secure,France
ROE1-27150,gid://shopify/Product/8644776853703,CL40,3mm,Stainless steel 304,Direct mount,Medium grate,Auto-lock,France
ROE1-27164,gid://shopify/Product/8645662408903,CL40-R402,Special,Stainless steel 304,Quick-release,Rösti,Secure mount,France
ROE1-27191,gid://shopify/Product/8644692541639,CL40-R402,Special,Stainless steel 304,Quick-release,Specific cut,Safety fit,France
ROE1-27219,gid://shopify/Product/8645662376135,CL40-R402,Custom,Stainless steel 304,Direct mount,Special cut,Auto-secure,France
ROE1-27244,gid://shopify/Product/8645662343367,CL40-R402,4mm,Stainless steel 304,Quick-release,Specific cut,Secure fit,France
ROE1-27245,gid://shopify/Product/8645662572743,CL40-R402,6mm,Stainless steel 304,Quick-release,Specific cut,Quick lock,France
ROE1-27248,gid://shopify/Product/8645723685063,CMP Combi,,Stainless steel 304,Easy-fit system,Whipping,Quick lock,France
ROE1-27286,gid://shopify/Product/8645660049607,R301/Ultra,Standard,Stainless steel 304,Quick-release,Smooth cut,Safety lock,France
ROE1-27288,gid://shopify/Product/8645659754695,R301/Ultra,Standard,Stainless steel 304,Quick-release,Coarse cut,Secure mount,France
ROE1-27355,gid://shopify/Product/8645512757447,MP Series,,Stainless steel 304,Quick-lock,Mixing,Safety lock,France
ROE1-27363,gid://shopify/Product/8645513543879,MP/CMP,Fits 330-650mm,Stainless steel 304,Adjustable,,Stable mount,France
ROE1-27364,gid://shopify/Product/8645513412807,MP/CMP,Fits 500-1000mm,Stainless steel 304,Adjustable,,Secure fit,France
ROE1-27365,gid://shopify/Product/8645513445575,MP/CMP,Fits 850-1300mm,Stainless steel 304,Adjustable,,Heavy duty,France
ROE1-27395,gid://shopify/Product/8645513511111,R301-R402,,Stainless steel 304,Tool-free,Juicing,Quick secure,France
ROE1-27511,gid://shopify/Product/8643030089927,CL40,3mm,Stainless steel 304,Direct mount,Grating,Safety lock,France
ROE1-27555,gid://shopify/Product/8643030122695,CL40,2mm,Stainless steel 304,Quick-release,Slicing,Auto-lock,France
ROE1-27566,gid://shopify/Product/8643030155463,CL40,4mm,Stainless steel 304,Quick-release,Slicing,Secure fit,France
ROE1-27577,gid://shopify/Product/8643030188231,CL40,2mm,Stainless steel 304,Direct mount,Grating,Quick lock,France
ROE1-27588,gid://shopify/Product/8643030220999,CL40,1.5mm,Stainless steel 304,Direct mount,Fine grate,Safety mount,France
ROE1-27599,gid://shopify/Product/8645659918535,CL40,2x2mm,Stainless steel 304,Direct mount,Julienne,Auto-lock,France
ROE1-27610,gid://shopify/Product/8643030253767,CL40,6x6mm,Stainless steel 304,Direct mount,Julienne,Quick secure,France
ROE1-27632,gid://shopify/Product/8643030286535,CL40,9mm,Stainless steel 304,Direct mount,Grating,Secure fit,France
ROE1-27764,gid://shopify/Product/8643030319303,CL40,Special,Stainless steel 304,Quick-release,Fine grate,Quick lock,France
ROE1-27786,gid://shopify/Product/8645659852999,CL40,6mm,Stainless steel 304,Direct mount,Slicing,Auto-secure,France
ROE1-28004,gid://shopify/Product/8645662310599,Expert Series,4mm,Stainless steel 304,Quick-release,Slicing,Safety lock,France
ROE1-28009,gid://shopify/Product/8644696441031,Various,,Stainless steel 304,Direct fit,,Standard fit,France
ROE1-28012,gid://shopify/Product/8645662277831,Various,,Stainless steel 304,Direct fit,,Quick fit,France
ROE1-28016,gid://shopify/Product/8645662212295,Expert Series,7mm,Stainless steel 304,Direct mount,Grating,Safety lock,France
ROE1-28016W,gid://shopify/Product/8645527175367,Expert Series,7mm,Mineral,Direct mount,Grating,Auto-secure,France
ROE1-28051,gid://shopify/Product/8645660541127,Expert Series,2x2mm,Stainless steel 304,Quick-release,Julienne,Secure fit,France
ROE1-28051W,gid://shopify/Product/8644692607175,Expert Series,2x2mm,Mineral,Quick-release,Julienne,Quick lock,France
ROE1-28052,gid://shopify/Product/8645662146759,Expert Series,4x4mm,Stainless steel 304,Direct mount,Julienne,Safety mount,France
ROE1-28053W,gid://shopify/Product/8644692639943,Expert Series,6x6mm,Mineral,Direct mount,Julienne,Quick secure,France
ROE1-28054,gid://shopify/Product/8643030352071,Expert Series,8x8mm,Stainless steel 304,Direct mount,Julienne,Safety fit,France
ROE1-28054W,gid://shopify/Product/8645527208135,Expert Series,8x8mm,Mineral,Direct mount,Julienne,Safety fit,France
ROE1-28055,gid://shopify/Product/8645662113991,Expert Series,1mm,Stainless steel 304,Quick-release,Fine grate,Secure mount,France
ROE1-28056,gid://shopify/Product/8645662048455,Expert Series,1.5mm,Stainless steel 304,Direct mount,Grating,Quick lock,France
ROE1-28056W,gid://shopify/Product/8645527240903,Expert Series,1.5mm,Mineral,Direct mount,Grating,Quick lock,France
ROE1-28057,gid://shopify/Product/8645723652295,Expert Series,2mm,Stainless steel 304,Direct mount,Grating,Auto-secure,France
ROE1-28057W,gid://shopify/Product/8644692672711,Expert Series,2mm,Mineral,Direct mount,Grating,Safety lock,France
ROE1-28058,gid://shopify/Product/8645660508359,Expert Series,3mm,Stainless steel 304,Direct mount,Grating,Secure fit,France
ROE1-28058W,gid://shopify/Product/8644692705479,Expert Series,3mm,Mineral,Direct mount,Grating,Quick mount,France
ROE1-28059,gid://shopify/Product/8645660442823,Expert Series,5mm,Stainless steel 304,Direct mount,Grating,Auto-lock,France
ROE1-28059W,gid://shopify/Product/8643030384839,Expert Series,5mm,Mineral,Direct mount,Grating,Safety fit,France
ROE1-28060,gid://shopify/Product/8645662015687,Expert Series,9mm,Stainless steel 304,Direct mount,Grating,Secure mount,France
ROE1-28060W,gid://shopify/Product/8645527273671,Expert Series,9mm,Mineral,Direct mount,Grating,Secure mount,France
ROE1-28061,gid://shopify/Product/8645660344519,Expert Series,Special,Stainless steel 304,Quick-release,Fine grate,Auto-lock,France
ROE1-28061W,gid://shopify/Product/8643030417607,Expert Series,Special,Mineral,Quick-release,Fine grate,Quick secure,France
ROE1-28062,gid://shopify/Product/8645661982919,Expert Series,1mm,Stainless steel 304,Direct mount,Slicing,Safety mount,France
ROE1-28062W,gid://shopify/Product/8645527306439,Expert Series,1mm,Mineral,Direct mount,Slicing,Safety mount,France
ROE1-28063W,gid://shopify/Product/8645707137223,Expert Series,2mm,Mineral,Direct mount,Slicing,Secure fit,France
ROE1-28064W,gid://shopify/Product/8645707169991,Expert Series,3mm,Mineral,Direct mount,Slicing,Auto-secure,France
ROE1-28065,gid://shopify/Product/8645661950151,Expert Series,5mm,Stainless steel 304,Direct mount,Slicing,Safety fit,France
ROE1-28065W,gid://shopify/Product/8645527339207,Expert Series,5mm,Mineral,Direct mount,Slicing,Safety fit,France
ROE1-28066,gid://shopify/Product/8645661917383,Expert Series,8mm,Stainless steel 304,Direct mount,Slicing,Quick secure,France
ROE1-28066W,gid://shopify/Product/8645527371975,Expert Series,8mm,Mineral,Direct mount,Slicing,Quick secure,France
ROE1-28067,gid://shopify/Product/8645661884615,Expert Series,10mm,Stainless steel 304,Direct mount,Slicing,Auto-lock,France
ROE1-28068,gid://shopify/Product/8645661786311,Expert Series,14mm,Stainless steel 304,Direct mount,Slicing,Safety mount,France
ROE1-28069,gid://shopify/Product/8645661819079,Expert Series,0.8mm,Stainless steel 304,Quick-release,Slicing,Secure fit,France
ROE1-28073,gid://shopify/Product/8644692738247,Expert Series,4mm,Stainless steel 304,Direct mount,Grating,Quick lock,France
ROE1-28101,gid://shopify/Product/8645661753543,Expert Series,3x3mm,Stainless steel 304,Direct mount,Julienne,Auto-secure,France
ROE1-28101W,gid://shopify/Product/8645527404743,Expert Series,3x3mm,Mineral,Direct mount,Julienne,Auto-secure,France
ROE1-28110,gid://shopify/Product/8645660278983,Expert Series,5mm cube,Stainless steel 304,Grid system,Dicing,Safety lock,France
ROE1-28110W,gid://shopify/Product/8645661720775,Expert Series,5mm cube,Mineral,Grid system,Dicing,Secure mount,France
ROE1-28111W,gid://shopify/Product/8645527437511,Expert Series,8mm cube,Mineral,Grid system,Dicing,Auto-secure,France
ROE1-28112W,gid://shopify/Product/8645661622471,Expert Series,10mm cube,Mineral,Grid system,Dicing,Secure fit,France
ROE1-28113,gid://shopify/Product/8645527470279,Expert Series,14mm cube,Stainless steel 304,Grid system,Dicing,Quick secure,France
ROE1-28113W,gid://shopify/Product/8644692771015,Expert Series,14mm cube,Mineral,Grid system,Dicing,Auto-lock,France
ROE1-28114,gid://shopify/Product/8645660246215,Expert Series,20mm cube,Stainless steel 304,Grid system,Dicing,Safety fit,France
ROE1-28114W,gid://shopify/Product/8644692803783,Expert Series,20mm cube,Mineral,Grid system,Dicing,Secure mount,France
ROE1-28115W,gid://shopify/Product/8644692836551,Expert Series,25mm cube,Mineral,Grid system,Dicing,Quick lock,France
ROE1-28130,gid://shopify/Product/8645660180679,Various,,Stainless steel 304,Quick mount,,Secure fit,France
ROE1-28135,gid://shopify/Product/8645661262023,Expert Series,10x10mm,Stainless steel 304,Grid system,Square cut,Quick lock,France
ROE1-28141,gid://shopify/Product/8645661196487,Various,,Stainless steel 304,Quick mount,Multiple,Auto-lock,France
ROE1-28153,gid://shopify/Product/8643030581447,Expert Series,1x26mm,Stainless steel 304,Direct mount,Special cut,Secure fit,France
ROE1-28158,gid://shopify/Product/8645661130951,Expert Series,10x16mm,Stainless steel 304,Grid system,Rectangle,Quick secure,France
ROE1-28159,gid://shopify/Product/8645661065415,Expert Series,8x16mm,Stainless steel 304,Grid system,Rectangle,Safety lock,France
ROE1-28161,gid://shopify/Product/8644651188423,CL55,,Stainless steel 304,Direct mount,Multiple,Auto-secure,France
ROE1-28162,gid://shopify/Product/8644776919239,CL60,,Stainless steel 304,Direct mount,Multiple,Auto-secure,France
ROE1-28166,gid://shopify/Product/8643030614215,Expert Series,0.6mm,Stainless steel 304,Quick-release,Ultra-thin,Safety lock,France
ROE1-28172,gid://shopify/Product/8645660967111,Expert Series,1x8mm,Stainless steel 304,Direct mount,Ribbon,Quick secure,France
ROE1-28174,gid://shopify/Product/8645660868807,CL50 Gourmet,2mm cube,Stainless steel 304,Grid system,Brunoise,Safety mount,France
ROE1-28175W,gid://shopify/Product/8645527503047,CL50 Gourmet,3mm cube,Mineral,Grid system,Brunoise,Secure fit,France
ROE1-28176W,gid://shopify/Product/8645527535815,CL50 Gourmet,4mm cube,Mineral,Grid system,Brunoise,Quick lock,France
ROE1-28179,gid://shopify/Product/8645660836039,Expert Series,14mm mixed,Stainless steel 304,Grid system,Mixed dice,Auto-secure,France
ROE1-28180,gid://shopify/Product/8645660803271,Expert Series,,Stainless steel 304,Grid system,Salad dice,Safety lock,France
ROE1-28181,gid://shopify/Product/8643030646983,Expert Series,14mm mixed,Stainless steel 304,Grid system,Cheese dice,Quick mount,France
ROE1-28194W,gid://shopify/Product/8645527568583,Expert Series,1mm,Mineral,Quick-release,Fine herb,Safety mount,France
ROE1-28195,gid://shopify/Product/8643030679751,Expert Series,2.5x2.5mm,Stainless steel 304,Direct mount,Julienne,Auto-lock,France
ROE1-28196,gid://shopify/Product/8645660770503,Expert Series,6mm,Stainless steel 304,Direct mount,Slicing,Quick secure,France
ROE1-28197,gid://shopify/Product/8645723619527,Expert Series,12mm cube,Stainless steel 304,Grid system,Dicing,Safety fit,France
ROE1-28197W,gid://shopify/Product/8643030712519,Expert Series,12mm cube,Mineral,Grid system,Dicing,Secure mount,France
ROE1-28199,gid://shopify/Product/8645660704967,CL50 Gourmet,3mm wave,Stainless steel 304,Direct mount,Waffle,Quick lock,France
ROE1-28205,gid://shopify/Product/8645660573895,Various,,Stainless steel 304,Direct fit,,Secure fit,France
ROE1-28207,gid://shopify/Product/8645512790215,R502/CL50/Ultra,3mm grid,Stainless steel 304,Tool-free,Mashing,Safety lock,France
ROE1-28209,gid://shopify/Product/8645512822983,R502/CL50/Ultra,6mm grid,Stainless steel 304,Tool-free,Mashing,Quick secure,France
ROE1-28380,gid://shopify/Product/8644692967623,Various,,Stainless steel 304,Direct fit,,Safety mount,France
ROE1-29246,gid://shopify/Product/8645527601351,R502-R752/CL50-60,,Stainless steel 304,Tool-free,,Safety design,France
ROE1-39881,gid://shopify/Product/8644693000391,Various,,Stainless steel 304,Direct fit,,Secure fit,France
ROE1-49066,gid://shopify/Product/8645708480711,CL60,,Stainless steel 304,Free standing,,Wheel locks,France
